County,County Code,Year,Zip,Tests,Less than 5 mcg/dL,5-10 mcg/dL,10 – 15 mcg/dL,15 + mcg/dL,Total Elevated Blood Levels ,Percent,"Rate per 1,000",Zip Code Location,County Location
Oswego,75,2001,13126,241,178,61,,,,,,"(43.451477, -76.501703)","(43.461443, -76.209258)"
Clinton,19,2005,12919,32,,,,,,,,"(44.96514, -73.4343)","(44.75271, -73.705648)"
Suffolk,103,2002,11772,328,278,47,,,,,,"(40.77504, -72.89574)","(40.943554, -72.692218)"
Otsego,77,2001,13843,2,,,0,0,0,0,0,"(42.537177, -75.347849)","(42.629776, -75.028841)"
Wayne,117,2006,14590,55,,,0,0,0,0,0,"(43.245974, -76.832666)","(43.112841, -77.027175)"
Rensselaer,83,2004,12033,60,49,10,,,,,,"(42.535438, -73.70907)","(42.710421, -73.513845)"
Westchester,119,2015,10583,449,,,0,0,0,0,0,"(40.989799, -73.80007)","(41.15277, -73.745912)"
Genesee,37,2018,14058,16,,,0,0,0,0,0,"(43.085396, -78.156946)","(43.00091, -78.192778)"
Chemung,15,2011,14894,7,,,0,0,0,0,0,"(42.010247, -76.730286)","(42.155281, -76.747179)"
Cattaraugus,9,2015,14779,124,,,,,,,,"(42.210897, -78.746912)","(42.244853, -78.681006)"
Madison,53,2003,13332,10,,,,,,,,"(42.742625, -75.566682)","(42.910026, -75.663575)"
Chautauqua,13,2013,14733,50,,,0,0,0,0,0,"(42.128136, -79.190161)","(42.304216, -79.407595)"
Rensselaer,83,2003,12144,112,85,24,,,,,,"(42.6246, -73.71012)","(42.710421, -73.513845)"
Cattaraugus,9,2006,14753,9,9,0,0,0,0,0,0,"(42.035199, -78.640416)","(42.244853, -78.681006)"
Monroe,55,2016,14607,83,75,8,0,0,0,0,0,"(43.151853, -77.593546)","(43.174966, -77.639663)"
Monroe,55,2011,14559,76,76,0,0,0,0,0,0,"(43.189174, -77.807274)","(43.174966, -77.639663)"
Oneida,65,2001,13413,92,72,18,,,,,,"(43.066052, -75.290055)","(43.242727, -75.434282)"
Otsego,77,2006,13342,1,,,0,0,0,0,0,"(42.64075, -75.226719)","(42.629776, -75.028841)"
Erie,29,2002,14223,19,19,0,0,0,0,0,0,"(42.97422, -78.85626)","(42.752759, -78.778192)"
Westchester,119,2002,10547,6,6,0,0,0,0,0,0,"(41.317149, -73.84668)","(41.15277, -73.745912)"
Niagara,63,2010,14132,76,,,0,0,0,0,0,"(43.147891, -78.872724)","(43.203001, -78.71083)"
Onondaga,67,2008,13205,334,236,82,,,16,0.048,48,"(43.006472, -76.148241)","(43.00653, -76.196117)"
Saratoga,91,2016,12850,22,21,0,,,,,,"(43.1187, -73.9875)","(43.106135, -73.855387)"
Rensselaer,83,2009,12123,43,,,,,,,,"(42.521046, -73.625267)","(42.710421, -73.513845)"
Steuben,101,2010,14843,127,101,19,,,7,0.055,55,"(42.328714, -77.656438)","(42.266725, -77.385525)"
Onondaga,67,2005,13120,32,24,6,,,,,,"(42.948, -76.17684)","(43.00653, -76.196117)"
Columbia,21,2017,12521,9,9,0,0,0,0,0,0,"(42.18132, -73.65564)","(42.247729, -73.626805)"
Hamilton,41,2011,13360,3,,,0,0,0,0,0,"(43.732253, -74.73682)","(43.657879, -74.502456)"
Nassau,59,2010,11771,92,,,,,,,,"(40.866007, -73.526305)","(40.750656, -73.582905)"
Dutchess,27,2006,12590,349,317,31,,,,,,"(41.595832, -73.88745)","(41.755009, -73.739951)"
Westchester,119,2011,10541,11,,,0,0,0,0,0,"(41.378032, -73.749712)","(41.15277, -73.745912)"
Erie,29,2012,14150,129,120,8,,,,,,"(43.001575, -78.861741)","(42.752759, -78.778192)"
Onondaga,67,2020,13112,14,14,0,0,0,0,0,0,"(43.09872, -76.41426)","(43.00653, -76.196117)"
Dutchess,27,2014,12572,61,,,0,0,0,0,0,"(41.926105, -73.894669)","(41.755009, -73.739951)"
Monroe,55,2006,14607,1,,,0,0,0,0,0,"(43.151853, -77.593546)","(43.174966, -77.639663)"
